tweet_id,hashtags,date,img_urls,video_url,replies,reply_to_users,retweets,links,user_mentions
1269397416756645888,['AuxilioEmergencial'],2020-06-06T22:35:03,[],,0,[],0,['http://jornalbrasilnoticias.com/2020/05/15/auxilio-emergencial-mudou-tudo-segunda-parcela/'],[]
1269397181443854337,"['DataLixo', 'AuxilioEmergencial']",2020-06-06T22:34:06,[],,0,[],1,[],[]
1269397023163322369,"['DataLixo', 'AuxilioEmergencial']",2020-06-06T22:33:29,[],,3,[],1,[],[]
1269396830028210177,"['AuxilioHumilhação', 'auxilioemergencial', 'APROVADATAPREV', 'análiseeterna', 'onyxmentiroso']",2020-06-06T22:32:43,[],,0,[],4,[],"['@onyxlorenzoni', '@Caixa', '@MinCidadania', '@dataprev']"
1269417367886585861,['AuxílioEmergencial'],2020-06-06T23:54:19,[],,3,[],1,[],[]
1269416121725259777,['AuxílioEmergencial'],2020-06-06T23:49:22,[],,1,[],0,[],[]
1269415681927319552,['auxilioemergencial'],2020-06-06T23:47:37,[],,0,[],0,['https://indicapagbank.page.link/SDxAkShCBKmFHgYT9'],[]
1269415443497918465,"['BolsonaroTransparenciaZero', 'coronavirus', 'covid19', 'Auxilioemergencial', 'AnomynousBrazil']",2020-06-06T23:46:40,[],,0,[],2,[],[]
1269409157385539584,['Auxilioemergencial'],2020-06-06T23:21:42,[],,1,[],1,[],['@onyxlorenzoni']
1269408014785748995,"['analiseeterna', 'auxilioemergencial', 'OnyxMentiroso']",2020-06-06T23:17:09,[],,0,[],2,[],[]
1269407872426938372,['auxilioemergencial'],2020-06-06T23:16:35,[],,0,[],1,[],[]
1269406172098039809,['auxilioemergencial'],2020-06-06T23:09:50,[],,4,[],0,[],[]
1269405401788882949,['auxilioemergencial'],2020-06-06T23:06:46,[],,5,[],0,[],[]
1269403858943586304,['auxilioemergencial'],2020-06-06T23:00:39,"['https://pbs.twimg.com/media/EZ3UEIRWsAEq7DC.jpg', 'https://pbs.twimg.com/media/EZ3UEr3X0AEUnoo.jpg']",,2,[],0,[],[]
1269402925677400064,['AuxilioEmergencial'],2020-06-06T22:56:56,[],,0,[],0,['https://twitter.com/MaikeSanthiago/status/1268919665679572992'],[]
